circuit_id,gate,n_nodes,snr_reportado,snr_real,media_low,media_high,desvio_low,desvio_high,sinal,ruido
38279133645572820_1,NOT,6,0.931381,0.200132,1.65,2.85,2.7961,5.3042,1.2,5.9961
38279134631816045_2,NOT,5,2.145843,0.158404,302.95,340.3,183.5385,148.0203,37.35,235.7888
38279134794832922_3,NOT,4,2.669427,0.451064,74.55,97.6,33.8534,38.2793,23.05,51.1014
38279134973467886_4,NOT,4,3.388163,0.411092,70.25,98.65,36.8537,58.4333,28.4,69.0843
38279138311692893_5,NOT,4,1.75,0.396342,0.35,1.4,0.8127,2.5215,1.05,2.6492
38279138335197832_6,NOT,4,2.58394,0.389769,60.5,80.6,35.1381,37.7448,20.1,51.569
38279138364092736_7,NOT,4,1.05021,0.478131,0.5,1.25,0.8272,1.3328,0.75,1.5686
38279138384900111_8,NOT,4,3.785195,0.32323,305.4,371.55,122.1356,164.2125,66.15,204.6529
38279139141141264_9,NOT,5,1.833333,0.531118,0.35,1.45,0.7452,1.9324,1.1,2.0711
38279142379695141_10,NOT,4,2.587987,0.61189,0.85,3.25,1.0894,3.7679,2.4,3.9223
38279142397012057_11,NOT,5,1.00223,0.354279,0.55,1.3,0.9987,1.8666,0.75,2.117
38279142517347815_12,NOT,5,2.318405,0.713441,0.85,3.0,1.0894,2.8098,2.15,3.0136
38279142525647575_13,NOT,4,1.206045,0.324893,0.1,0.5,0.3078,1.1921,0.4,1.2312
38279142751975125_14,NOT,4,1.698934,0.233904,63.6,77.15,32.406,48.0178,13.55,57.9298
38279142869338429_15,NOT,4,2.39864,0.146748,382.3,429.2,212.1328,239.0408,46.9,319.5948
38279142975283391_16,NOT,4,1.938973,0.266045,101.65,121.2,41.1458,60.8844,19.55,73.4839
38279143344508755_17,NOT,6,2.803652,0.488833,0.85,3.45,1.1821,5.1858,2.6,5.3188
38279146356372803_18,NOT,5,2.186433,0.41522,0.4,1.8,0.5026,3.334,1.4,3.3717
38279146358293804_19,NOT,6,0.954545,0.230301,1.2,2.25,1.5424,4.2904,1.05,4.5593
38279146527572534_20,NOT,5,0.981981,0.359622,0.2,0.65,0.5231,1.1367,0.45,1.2513
38279146594907221_21,NOT,6,0.890086,0.228246,0.7,1.45,1.5927,2.8741,0.75,3.2859
38279146609952450_22,NOT,5,3.565982,0.297407,282.15,342.05,143.6602,141.1619,59.9,201.4074
