query_protein,instance_type,ucf_json_file,ucf_object_index,ucf_record_type,gate_or_fragment_name,has_response_parameters,target_metric,target_metric_name,target_metric_source,derived_dynamic_range,derived_log10_on_off_ratio,ucf_param_ymax,ucf_param_ymin,ucf_param_K,ucf_param_n,ucf_param_a,ucf_param_b,ucf_param_alpha,ucf_param_beta,ucf_param_tau_on,ucf_param_tau_off
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,269,gates,S1_SrpR,0,,,not_found,,,,,,,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,270,gates,S2_SrpR,0,,,not_found,,,,,,,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,271,gates,S3_SrpR,0,,,not_found,,,,,,,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,272,gates,S4_SrpR,0,,,not_found,,,,,,,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,333,response_functions,S1_SrpR,1,433.3333333333333,on_off_ratio,derived_from_ymax_ymin,1.2970000000000002,2.6368220975871743,1.3,0.003,0.01,2.9,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,339,response_functions,S2_SrpR,1,700.0,on_off_ratio,derived_from_ymax_ymin,2.097,2.845098040014257,2.1,0.003,0.04,2.6,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,345,response_functions,S3_SrpR,1,525.0,on_off_ratio,derived_from_ymax_ymin,2.096,2.720159303405957,2.1,0.004,0.06,2.8,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,351,response_functions,S4_SrpR,1,300.0,on_off_ratio,derived_from_ymax_ymin,2.093,2.4771212547196626,2.1,0.007,0.1,2.8,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,666,eugene_rules,gate_srpr,0,,,not_found,,,,,,,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,276,gates,SrpR,0,,,not_found,,,,,,,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,286,response_functions,S2_SrpR,1,1119.868617725721,on_off_ratio,derived_from_ymax_ymin,3.165616099,3.0491670745062107,3.1684454,0.002829301,0.062531512,2.655303675,0.351620698,0.085751278,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,374,response_functions,S1_SrpR,1,1008.8474788116824,on_off_ratio,derived_from_ymax_ymin,1.365149567,3.0038255129987137,1.366504087,0.00135452,0.016906016,3.095316853,0.496977484,0.054296158,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,382,response_functions,S3_SrpR,1,753.5814690678426,on_off_ratio,derived_from_ymax_ymin,3.051477031,2.877130210405136,3.055531711,0.00405468,0.087385601,2.657349101,0.333702566,0.092558084,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,390,response_functions,S4_SrpR,1,728.3073878215229,on_off_ratio,derived_from_ymax_ymin,3.161638671,2.8623147153831425,3.165985717,0.004347046,0.110327837,2.654076554,0.378190946,0.089509276,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,408,models,S1_SrpR_model,1,433.3333333333333,on_off_ratio,derived_from_ymax_ymin,1.2970000000000002,2.6368220975871743,1.3,0.003,0.01,2.9,,,0.4969774844849547,0.05429615831701271,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,409,,s1_srpr,0,,,not_found,,,,,,,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,416,models,S2_SrpR_model,1,700.0,on_off_ratio,derived_from_ymax_ymin,2.097,2.845098040014257,2.1,0.003,0.04,2.6,,,0.35162069790016137,0.08575127838151375,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,417,,s2_srpr,0,,,not_found,,,,,,,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,424,models,S3_SrpR_model,1,525.0,on_off_ratio,derived_from_ymax_ymin,2.096,2.720159303405957,2.1,0.004,0.06,2.8,,,0.3337025658634261,0.09255808434135396,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,425,,s3_srpr,0,,,not_found,,,,,,,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,432,models,S4_SrpR_model,1,300.0,on_off_ratio,derived_from_ymax_ymin,2.093,2.4771212547196626,2.1,0.007,0.1,2.8,,,0.3781909455221124,0.0895092758664231,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,433,,s4_srpr,0,,,not_found,,,,,,,,,,,,
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,288,models,S2_SrpR_model,1,1119.868617725721,on_off_ratio,derived_from_ymax_ymin,3.165616099,3.0491670745062107,3.1684454,0.002829301,0.062531512,2.655303675,,,0.351620698,0.085751278,0.5,7.0
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,398,models,S1_SrpR_model,1,1008.8474788116824,on_off_ratio,derived_from_ymax_ymin,1.365149567,3.0038255129987137,1.366504087,0.00135452,0.016906016,3.095316853,,,0.496977484,0.054296158,5.0,7.0
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,408,models,S3_SrpR_model,1,753.5814690678426,on_off_ratio,derived_from_ymax_ymin,3.051477031,2.877130210405136,3.055531711,0.00405468,0.087385601,2.657349101,,,0.333702566,0.092558084,0.7,6.0
SrpR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,418,models,S4_SrpR_model,1,728.3073878215229,on_off_ratio,derived_from_ymax_ymin,3.161638671,2.8623147153831425,3.165985717,0.004347046,0.110327837,2.654076554,,,0.378190946,0.089509276,1.8,8.0
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,266,gates,P1_PhlF,0,,,not_found,,,,,,,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,267,gates,P2_PhlF,0,,,not_found,,,,,,,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,268,gates,P3_PhlF,0,,,not_found,,,,,,,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,315,response_functions,P1_PhlF,1,390.0,on_off_ratio,derived_from_ymax_ymin,3.89,2.591064607026499,3.9,0.01,0.03,4.0,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,321,response_functions,P2_PhlF,1,204.99999999999997,on_off_ratio,derived_from_ymax_ymin,4.08,2.311753861055754,4.1,0.02,0.13,3.9,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,327,response_functions,P3_PhlF,1,340.0,on_off_ratio,derived_from_ymax_ymin,6.78,2.531478917042255,6.8,0.02,0.23,4.2,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,666,eugene_rules,gate_phlf,0,,,not_found,,,,,,,,,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,278,response_functions,P3_PhlF,1,1522.0915821221158,on_off_ratio,derived_from_ymax_ymin,7.083442096000001,3.182440784112406,7.088098911,0.004656815,0.116044457,3.342819362,0.240700115,0.061908386,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,358,response_functions,P1_PhlF,1,1584.7234744235752,on_off_ratio,derived_from_ymax_ymin,6.869075907,3.199953491153664,6.873413202,0.004337295,0.042126721,3.804263913,0.222204213,0.064388009,,,,
PhlF,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,366,response_functions,P2_PhlF,1,1120.827337839778,on_off_ratio,derived_from_ymax_ymin,7.4801856970000005,3.0495387151829374,7.486865464,0.006679767,0.20384996,4.481560106,0.146320601,0.117556995,,,,
