Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1042876.5","Pseudomonas putida S16",,1042876,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1042876","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida S16","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","Complete","S16",,,,,,,,,,,,,,,,,,,,"Good","2011-06-30T00:00:00Z","21914868",,"PRJNA67881","SAMN02603862","GCA_000219705.1",,"CP002870","Shanghai Jiao Tong University|Chinese National Human Genome Center|Helmoholtz Center for Infection Research","Complete",,,,,,1,5984790,62.32,1,5984790,67,19,,5373,99.3,97.6,,100,,,,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:12:39.139Z","2015-03-16T03:17:09.594Z"
"1048261.3","Pseudomonas putida B001",,1048261,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1048261","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida B001","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","WGS","B001",,,,"MLST.pputida.166",,,,,,,,,,,,,,,,"Good","2011-08-19T00:00:00Z","22072649",,"PRJEA68177","SAMEA2272788","GCA_000285395.1",,"CAED00000000","Chonnam National University","WGS",,,,,,262,5740939,62.1,44,41469,48,4,,5387,98.8,95.7,2.7,98.8,,,,,,,"South Korea",,,,"Asia","South Korea: Yellow Sea beach",,,,,,,,,,,,"-","2014-12-08T22:12:38.948Z","2015-03-16T03:17:09.594Z"
"1079364.3","Pseudomonas putida str. Idaho",,1079364,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1079364","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida str. Idaho","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","WGS","Idaho",,,,,,,,,,,,,,,,," ",,,"Good","2011-09-27T00:00:00Z","18430943",,"PRJNA72621","SAMN02470932","GCA_000226475.2",,"AGFJ00000000","Shanghai Jiao Tong University","WGS",,,,,,838,6359535,61.6,161,12087,41,5,,5724,97.6,95.3,0.8,97.7,,,,,,,,,,,,,,,,,,,,,,,,"Pseudomonas putida Idaho is an organic solvent-tolerant bacterium with high tolerance to many organic solvents.  It is reported that the mechanism of the tolerance is unique.  Sequencing the genome of Idaho will help to reveal the mechanism of the tolerance.","2014-12-08T22:12:39.200Z","2015-03-16T03:17:09.594Z"
"1081940.5","Pseudomonas putida B6-2",,1081940,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1081940","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida B6-2","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","WGS","B6-2",,,,,,,,,,,,,,,,," ",,,"Good","2011-09-15T00:00:00Z","22072645",,"PRJNA72885","SAMN02470956","GCA_000226035.2",,"AGCS00000000","State Key Laboratory of Microbial Metabolism and School of Life Sciences and Biotechnology, Shanghai Jiao Tong University","WGS",,,,,,27,6239598,61.6,5,482035,69,19,,5699,99.4,97.6,1.5,99.2,,,,,,,,,,,,,,,,,,,,,,,,"A aromatic and heterocyclic compounds degrader strain.","2014-12-08T22:12:38.957Z","2015-03-16T03:17:09.594Z"
"1150601.3","Pseudomonas putida JB",,1150601,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1150601","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida JB","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","Complete","JB",,,,,,,,,,,,,,,,,,,,"Good","2016-10-18T00:00:00Z",,,"PRJNA84349","SAMN05290347","GCF_001767335.1",,"CP016212","Institute of Molecular Genetics of the ASCR","Complete","454","50","Newbler v. 2.8",,,1,5846746,61.81,1,5846746,72,7,,5453,99.6,98.3,,100,,"PCB contaminated soil",,"2000",2000,,"Czech Republic",,,,"Europe","Czech Republic: dumpsite Lhenice","env_biome:soil;temperature:28",,,,,,,,,,"sample_type:cell culture;biomaterial_provider:Ondrej Uhlik (ondrej.uhlik@vscht.cz), Laboratory of Applied Microbial Ecology, Department of Biochemistry and Microbiology, University of Chemistry and Technology, Prague, Technicka 3 (building B) 166 28 Praha 6 - Dejvice, Czech republic;collected_by:Martina Mackova;identified_by:Ondrej Uhlik","An environmental isolate capable of growth on several different chlorobenzoates.","2016-11-17T08:17:41.736Z","2016-11-17T08:17:41.736Z"
"1193146.3","Pseudomonas putida LS46",,1193146,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1193146","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida LS46","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","WGS","LS46",,,,"MLST.pputida.216",,,,,,,,,,,,,,,,"Good","2012-08-31T00:00:00Z","22804681",,"PRJNA167222","SAMN02471870","GCA_000294445.2",,"ALPV00000000","University of Manitoba,","WGS","454; Illumina HiSeq","25.0x","Newbler v. 2.6",,,58,5862556,61.7,8,247770,73,22,,5260,99.5,98.7,0.4,100,,"waste water",,"2009",2009,,"Canada",,,,"North America","Canada: Manitoba",,,,,,,,,,,,"Bioplastic producing strain.","2014-12-08T22:12:39.054Z","2015-03-16T03:17:09.594Z"
"1193499.3","Pseudomonas putida SJTE-1",,1193499,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1193499","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida SJTE-1","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","WGS",,,,,,,,,,,,,,,,,,,,,"Good","2012-06-25T00:00:00Z","22887678",,"PRJNA167271","SAMN02470955","GCA_000271965.1",,"AKCL00000000","Shanghai Jiao Tong University","WGS","454; Illumina MiSeq","200.0x","AMOScmp v. 3.1.0",,,207,5551505,62.25,23,79526,73,19,,4968,99.1,97.9,0.8,100,,"soil",,,,,"China",,,,"Asia","China: Shanghai",,,,,,,,,,,,"Our experiments have found that Pseudomonas putida SJTE-1 could degrade estrogen; therefore, sequencing of this strain is tried to find and determine the steriod degradation pathway genes and the regulatory genes, to compare its genome seuqence with other environmental samples and find its special characterics.","2014-12-08T22:12:39.171Z","2015-03-16T03:17:09.594Z"
"1196325.10","Pseudomonas putida DOT-T1E",,1196325,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1196325","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida DOT-T1E","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","Plasmid","DOT-T1E",,,,,,,,,,,,,,,,,,,,,"2016-07-25T00:00:00Z","11395460,21605303",,,,,,"HM626202",,"Plasmid",,,,,1,1,133451,55.81,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2017-12-30T06:39:42.186Z","2017-12-30T06:39:42.186Z"
"1196325.12","Pseudomonas putida DOT-T1E",,1196325,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1196325","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida DOT-T1E","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","Complete","DOT-T1E",,,,,,,,,,,,,,,,,,,,"Good","2022-11-15T00:00:00Z",,,"PRJNA899573","SAMN31664999","GCA_026183455.1",,"CP110782,CP110783",,,"Oxford Nanopore MinION; Illumina","150.0x","Flye v. 2.82",,1,2,6506706,61.291965,1,6373258,83,22,,6118,99.3,97.7,,100,,"environment",,"2009",2009,,"Spain",,,,"Europe","Spain:Granada",,,,,,,,,,,"sample_type:pure cell culture",,"2022-12-26T07:13:21.861Z","2022-12-26T07:13:21.861Z"
"1196325.13","Pseudomonas putida DOT-T1E",,1196325,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1196325","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida DOT-T1E","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","Complete","DOT-T1E",,,,,,,,,,,,,,,,,,,,"Good","2024-07-04T00:00:00Z",,,"PRJNA607328","SAMN41934465",,,"CP159468",,,"Illumina MiSeq, Oxford Nanopore MiniION","72.24x","Unicycler v. v0.4.9b",,,1,6365278,61.412983,1,6365278,84,22,,5953,99.3,97.6,0.7,100,,,,,,,,,,,,,,,,,,,,,,,"sample_type:whole organism",,"2024-12-05T10:04:05.768Z","2024-12-05T10:04:05.768Z"
"1196325.3","Pseudomonas putida DOT-T1E",,1196325,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1196325","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida DOT-T1E","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","Complete","DOT-T1E",,,,,,,,,,,,,,,,,,,,"Good","2012-07-24T00:00:00Z","20139187",,"PRJNA167844","SAMN02603217","GCA_000281215.1",,"CP003734.1","EEZ-CSIC","Complete",,,,,,1,6260702,61.4,1,6260702,58,10,,5704,99.3,96.5,0.8,99.6,,,,,,,,,,,,,,,,,,,,,,,,"'Complete genome of the aromatic hydrocarbon-degrading and solvent-tolerant, Pseudomonas putida DOT-T1E.';missing rRNA genes","2014-12-08T22:12:38.983Z","2015-03-16T03:17:09.594Z"
"1211579.3","Pseudomonas putida NBRC 14164",,1211579,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1211579","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida NBRC 14164","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","Complete","NBRC 14164",,,,"MLST.pputida.2",,,,,,,,,,,,,,,"Representative","Good","2013-06-15T00:00:00Z",,,"PRJDB191","SAMD00061028","GCA_000412675.1",,"AP013070.1","National Institute of Technology and Evaluation","Complete","ABI3730; GS-FLX Titanium; Illumina HiSeq","0.6x ABI3730; 17.6x GS-FLX Titanium; 94.3x","Newbler v. 2.6",,,1,6156701,62.3,1,6156701,74,22,,5448,99,96.3,0.4,100,,,,,,,,,,,,,,,,,,,,,,,,"Comparative genomics of clinical and environmental Pseudomonas isolates","2014-12-08T22:12:39.082Z","2015-03-16T03:17:09.594Z"
"1215087.3","Pseudomonas putida S12",,1215087,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1215087","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida S12","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","WGS","S12",,,,,,,,,,,,,,,,,,,,"Good","2012-08-15T00:00:00Z","22416130",,"PRJNA171340","SAMN02470946","GCA_000287915.1",,"ALNR00000000","Shanghai Jiao Tong University","WGS","Illumina GAII","159.0x","Velvet v. 1.2.03",,,258,6284656,61.5,36,57275,70,20,,5762,99.6,97.6,,99.6,,"soil",,,,,,,,,,,,,,,,,,,,,,"'Pseudomonas putida S12 is an outstanding bacterium capable of tolerating orgnic solvents. Here, we sequence its genome for invastigating the tolerant mechanism and comparing it with other bacteria.'","2014-12-08T22:12:39.120Z","2015-03-16T03:17:09.594Z"
"1215087.7","Pseudomonas putida S12",,1215087,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1215087","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida S12","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","Complete","S12",,,,,,,,,,,,,,,,,"ATCC:700801",,,"Good","2015-04-13T00:00:00Z",,,"PRJNA222630","SAMN02470872","GCF_000495455.2",,"AYKV00000000","RWTH Aachen University","Complete","Sanger dideoxy sequencing; Illumina;",,"CLC Genomics Workbench v. 6.5.1",,1,2,6382434,61.44,1,5798534,61,6,,5990,99.5,97.6,,100,,"soil",,"1989",1989,,"Netherlands",,,,"Europe","Netherlands",,,,,,,,,,,,"Draft genome sequence of the solvent-tolerant Pseudomonas putida S12 including megaplasmid pTTS12","2016-01-17T15:33:43.931Z","2016-01-17T15:33:43.931Z"
"1215087.9","Pseudomonas putida S12",,1215087,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1215087","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida S12","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","Plasmid","S12",,,,,,,,,,,,,,,,,"ATCC:700801",,,,"2016-07-26T00:00:00Z",,,"PRJNA222630","SAMN02470872","GCA_000495455.2",,"AYKV00000000","RWTH Aachen University","Plasmid","Sanger dideoxy sequencing; Illumina;",,"CLC Genomics Workbench v. 6.5.1",,1,1,583900,57.85,,,,,,709,,,,,,"soil",,"1989",1989,,"Netherlands",,,,"Europe","Netherlands",,,,,,,,,,,,"Draft genome sequence of the solvent-tolerant Pseudomonas putida S12 including megaplasmid pTTS12","2017-12-29T23:40:44.323Z","2017-12-29T23:40:44.323Z"
"1215088.3","Pseudomonas putida HB3267",,1215088,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1215088","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida HB3267","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","Complete","HB3267",,,,"MLST.pputida.15",,,,,,,,,,,,,,,,"Good","2012-12-19T00:00:00Z",,,"PRJNA171349","SAMN02604102","GCA_000325725.1",,"CP003738.1","Universidad de Huelva","Complete",,,"1",,,1,5875750,62.6,1,5875750,69,22,,5321,98.9,97.4,,100,,,,,,,,,,,,,,"Human, Homo sapiens","Human",,,,"Human",,,,,"Multi-Drug resistant","2014-12-08T22:12:39.022Z","2015-03-16T03:17:09.594Z"
"1215088.5","Pseudomonas putida HB3267 strain PC9",,1215088,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1215088","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida HB3267","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","Plasmid","PC9",,,,,,,,,,,,,,,,,,,,,"2016-07-26T00:00:00Z","24465371",,"PRJNA171349","SAMN02604102","GCA_000325725.1",,"CP003739","Universidad de Huelva","Plasmid",,,,,1,1,80360,60.03,,,,,,104,,,,,,,,,,,,,,,,,,"Human, Homo sapiens","Human",,,,"Human",,,,,"Multi-Drug resistant","2017-12-29T22:24:11.396Z","2017-12-29T22:24:11.396Z"
"1218169.3","Pseudomonas putida S11",,1218169,"131567;2;3379134;1224;1236;72274;135621;286;136845;303;1218169","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida S11","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas putida","WGS","S11",,,,,,,,,,,,,,,,,,,,"Poor","2012-08-23T00:00:00Z","22821204",,"PRJNA171810","SAMN02470288","GCA_000292775.1",,"ALXA00000000","Madurai Kamaraj University","WGS","454","13.0x","MIRA v. 3.4.0",,,196,5970749,62.4,28,63164,58,27,,8917,97.9,66.7,43.1,99.2,"High CheckM contamination score","sugarcane rhizosphere (soil)",,"2007",2007,,"India",,,,"Asia","India",,,,,,,,,,,,"Pseudomonas putida S11 is a plant growth promoting rhizobacterium. This strain is being sequenced for comparative genome analysis.;many frameshifted proteins","2014-12-08T22:12:39.111Z","2015-03-16T03:17:09.594Z"
